Orario,Cinema_Teatro,Dancing,Night_club,Palazzetto,Sala_da_concerto,Teatro_Sala_da_concerto,Teatro_Sala_da_concerto_Dancing
00:00,0,0,3,0,0,0,6
02:00,0,0,0,0,0,0,0
10:30,0,0,0,0,1.24,0.12,1
11:00,0,0,0,0,0.41,0,0
14:00,0,0,0,0,0,0.02,0
14:15,1.62,0,0,0,0,0,0
14:20,0,0,0,0,0,0.02,0
14:30,0,0,0,0,0,0.58,0
14:45,0,0,0,0,0,0.18,0
15:00,8.58,0,0,0,0.21,1.47,1
15:15,0,0,0,0,0,2.22,1
15:30,6.26,0,0,3.7,4.15,5.88,4
16:00,1.16,0,0.43,7.41,0,1.07,1
16:15,0.23,0,0,0,0,0.02,0
16:30,0.23,0,0.43,0,0.41,0.44,2
16:45,0,0,0,0,0,0.02,0
17:00,2.09,0,0.43,0,4.98,1.53,1
17:15,0,0,0,0,3.11,2.26,0
17:30,0.23,0,1.7,0,3.94,0.06,0
17:45,0,0,0,0,3.32,0,0
18:00,1.16,0,0,0,4.98,0.32,0
19:30,0,0,0,0,0,0.71,0
20:00,0,0,0.43,0,0,0.28,2
20:15,0,0,0,0,0,0.06,0
20:20,0,0,0,0,0,0.02,0
20:30,0,0,0,0,0,0.75,0
20:45,0,0,0,0,0.21,2.74,0
21:00,3.48,5.11,0.85,3.7,5.39,19.67,2
21:10,0,0,0,0,0,3,0
21:15,0,0,0,74,44,40,26
21:20,0,0,0,0,0,1,0
21:25,26,0,0,0,0,0,0
21:30,12,0,3,0,23,8,12
21:40,0,0,0,0,0,0,0
21:45,0,0,0,0,0,1,0
22:00,0,0,5,4,0,5,16
22:30,0,0,0,0,0,0,25
22:45,0,0,0,0,0,0,0
23:00,0,0,0,0,0,0,1
