Luogo,Genere,Incidenza
Teatro Gerolamo,Avanguardia,1
Teatro Gerolamo,Balletto,1
Teatro Gerolamo,Cabaret,1
Teatro Gerolamo,Cantautorato,1
Teatro Gerolamo,Canzone francese,1
Teatro Gerolamo,Canzone intellettuale,1
Teatro Gerolamo,Canzone internazionale,1
Teatro Gerolamo,Canzone italiana,1
Teatro Gerolamo,Canzone napoletana,1
Teatro Gerolamo,Commedia musicale,1
Teatro Gerolamo,Jazz moderno,1
Teatro Gerolamo,Jazz tradizionale,1
Teatro Gerolamo,Musica colta classica,1
Teatro Gerolamo,Musica colta contemporanea,1
Teatro Gerolamo,Opera classica,1
Teatro Gerolamo,Opera contemporanea,1
Teatro Gerolamo,Musica di scena,1
Teatro Nuovo,Avanguardia,1
Teatro Nuovo,Balletto,1
Teatro Nuovo,Canzone francese,1
Teatro Nuovo,Canzone internazionale,1
Teatro Nuovo,Canzone italiana,1
Teatro Nuovo,Commedia musicale,1
Teatro Nuovo,Jazz moderno,1
Teatro Nuovo,Jazz tradizionale,1
Teatro Nuovo,Musica antica,1
Teatro Nuovo,Musica colta classica,1
Teatro Nuovo,Musica colta contemporanea,1
Teatro Nuovo,Musica popolare,1
Teatro Nuovo,Opera antica,1
Teatro Nuovo,Opera classica,1
Teatro Nuovo,Operetta,1
Teatro Nuovo,Rivista,1
Teatro Nuovo,Musica di scena,1
Teatro Lirico,Balletto,1
Teatro Lirico,Cantautorato,1
Teatro Lirico,Canzone internazionale,1
Teatro Lirico,Canzone italiana,1
Teatro Lirico,Canzone napoletana,1
Teatro Lirico,Commedia musicale,1
Teatro Lirico,Jazz moderno,1
Teatro Lirico,Jazz tradizionale,1
Teatro Lirico,Musica colta classica,1
Teatro Lirico,Musica popolare,1
Teatro Lirico,Opera classica,1
Teatro Lirico,Operetta,1
Teatro Lirico,Rivista,1
Teatro Lirico,Rock and Roll,1
Teatro Lirico,Musica di scena,1
Salone degli affreschi,Avanguardia,1
Salone degli affreschi,Cantautorato,1
Salone degli affreschi,Canzone intellettuale,1
Salone degli affreschi,Canzone internazionale,1
Salone degli affreschi,Canzone italiana,1
Salone degli affreschi,Jazz moderno,1
Salone degli affreschi,Jazz tradizionale,1
Salone degli affreschi,Musica colta classica,1
Salone degli affreschi,Musica colta contemporanea,1
Salone degli affreschi,Musica popolare,1
Salone degli affreschi,Opera classica,1
Salone degli affreschi,Operetta,1
Teatro Gerolamo,Musica popolare,1
