id,Nome,Organizzatore,Eventi,Capienza,Costo medio,Categoria,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
002s,Agape degli Artisti,,3,,,Sala_concerto,Sala da concerto,"Via Mulino delle Armi, 12, Milano, Italia",45.45643561,9.18585241,,,,,s002,21/06/1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s002.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s002.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s002.jpg
018s,Auditorium Pirelli,Centro Culturale Pirelli,3,340,,Sala_concerto,Sala da concerto,"Piazza Duca d'Aosta, 5, Milano, Italia",45.4848758,9.20159698,,,,,s018,1961,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s018.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s018.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s018.jpg
013s,Biblioteca Germanica,,2,,,Sala_concerto,Sala da concerto,"Via Legnano, 24, Milano, Italia",45.47619855,9.1818881,,,,,s013,1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s013.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s013.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s013.jpg
020s,Centro francese di studi e informazioni,,5,,,Sala_concerto,Sala da concerto,"Via Bigli, 2, Milano, Italia",45.46799399,9.1946286,,,,,s020,17/03/1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s020.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s020.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s020.jpg
025s,Circolo Alessandro Volta,,2,200,,Sala_concerto,Sala da concerto,"Via Giuseppe Giusti, 16, Milano, Italia",45.48025712,9.17676508,,,,,s025,13/12/2014,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s025.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s025.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s025.jpg
026s,Circolo del Castello,,1,,,Sala_concerto,Sala da concerto,"Via Quintino Sella, 2, Milano, Italia",45.47030764,9.18280005,,,,,s026,21/11/1962,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s026.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s026.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s026.jpg
027s,Circolo della Rinascente,,9,,,Sala_concerto,Sala da concerto,"Via Durini, 24, Milano, Italia",45.46515729,9.19865727,,,,,s027,1919,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s027.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s027.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s027.jpg
028s,Circolo della Stampa,,38,200,,Sala_concerto,Sala da concerto,"Corso Venezia, 16, Milano, Italia",45.46908123,9.19981599,,,,,s028,26/06/2017,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s028.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s028.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s028.jpg
029s,Circolo di Via Marsala,,1,,,Sala_concerto,Sala da concerto,"Via Marsala, 11, Milano, Italia",45.47827113,9.18775141,,,,,s029,15/04/1960,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s029.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s029.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s029.jpg
030s,Circolo Filologico Milanese,,5,230,,Sala_concerto,Sala da concerto,"Via Clerici, 10, Milano, Italia",45.46728295,9.18721497,,,,,s030,1940,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s030.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s030.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s030.jpg
