id,Nome,Organizzatore,Eventi,Capienza,Costo medio,Categoria,Tipologia,Indirizzo,Latitude,Longitude,Epoca di costruzione,Ricostruzione,Restauri,Rifacimento,ID foto,Data_foto,Thumbnails,Immagini_originali,Link_Thumbnail
011s,Basilica di San Ambrogio,"Polifonica Ambrosiana, Piccolo Teatro",37,,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Piazza San Ambrogio, 15, Milano, Italia",45.46217747,9.17527914,,,,,s011,1953,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s011.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s011.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s011.jpg
074s,Piccola Scala,,153,600,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Filodrammatici, 1, Milano, Italia",45.46756135,9.18866873,,,,,s074,1955,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s074.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s074.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s074.jpg
076s,Piccolo Teatro,,766,620,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Rovello, 2, Milano, Italia",45.46680515,9.18493509,,,,,s076,1952,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s076.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s076.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s076.jpg
097s,Teatrino del Corso,,124,150,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Corso Vittorio Emanuele, 22, Milano, Italia",45.46527768,9.19552445,,,,,s097,1960 circa,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s097.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s097.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s097.jpg
098s,Teatro all'aperto di Vermezzo,,50,,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Alzaia Naviglio Grande, Vermezzo, Italia",45.402021,8.9745897,,,,,s098,25/07/1962,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s098.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s098.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s098.jpg
099s,Teatro alla Scala,,803,3000,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Filodrammatici, 2, Milano, Italia",45.46752372,9.18921053,,,,,s099,,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s099.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s099.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s099.jpg
105s,Teatro dell'Arte,,35,499,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Emilio Alemagna, 6, Milano, Italia",45.4721773,9.17419553,,,,,s105,1960 circa,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s105.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s105.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s105.jpg
107s,Teatro Gerolamo,,545,220,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Piazza Cesare Beccaria, 8, Milano, Italia",45.46414899,9.19444621,,,,,s107,1958,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s107.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s107.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s107.jpg
108s,Teatro Lirico,,877,1450,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Larga, 16, Milano, Italia",45.46169963,9.19153869,,,,,s108,1938,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s108.jpg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s108.jpg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s108.jpg
109s,Teatro Manzoni,,396,,,Teatro_Sala_concerto,Teatro/Sala da concerto,"Via Alessandro Manzoni, 42, Milano, Italia",45.47119921,9.1946286,,,,,s109,1950,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s109.jpeg?raw=true"">","<a href=""https://github.com/martinnicastro/topografia_musicale/blob/main/images/originals/s109.jpeg"" target=""_blank"" rel=""noopener"">Immagine dimensioni originali</a>",https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails/s109.jpg
