Nome,Data,Latitude,Longitude,Stato,Categoria,Link_thumbnail,id,Thumbnail,,
agape_degli_artisti,2023:08:22,45.45646597,9.185323,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/1.jpg,1,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/1.jpg?raw=true"">",,
al_pozzo_club,2023:08:23,45.472709,9.206702972,non attivo,Whisky a go-go,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/2.jpg,2,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/2.jpg?raw=true"">",,
angelicum,2023:08:22,45.475346,9.191757,non attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/3.jpg,3,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/3.jpg?raw=true"">",,
arenella,2023:08:22,45.453761,9.178172972,non attivo,Dancing,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/4.jpg,4,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/4.jpg?raw=true"">",,
astoria,2023:08:23,45.46304897,9.186495972,non attivo,Night club,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/5.jpg,5,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/5.jpg?raw=true"">",,
auditorium_pirelli,2023:08:22,45.48474697,9.202104972,attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/6.jpg,6,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/6.jpg?raw=true"">",,
auditorium_tesio,2023:08:19,45.48407397,9.141068,non attivo,Teatro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/7.jpg,7,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/7.jpg?raw=true"">",,
bar_missori,2023:08:23,45.460805,9.188534,non attivo,Altro,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/8.jpg,8,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/8.jpg?raw=true"">",,
basilica_sant_ambrogio,2023:08:22,45.46224097,9.174462972,attivo,Teatro/Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/9.jpg,9,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/9.jpg?raw=true"">",,
biblioteca_germanica,2023:08:22,45.475714,9.181622,non attivo,Sala da concerto,https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/10.jpg,10,"<img src =""https://github.com/martinnicastro/topografia_musicale/blob/main/images/thumbnails_today/10.jpg?raw=true"">",,
