Source,Target,Type,Id,Label,Weight,attribute
001s,014g,Undirected,0,,2,2
001s,015g,Undirected,1,,2,2
002s,007g,Undirected,2,,1,1
002s,018g,Undirected,3,,2,2
093s,008g,Undirected,4,,23,23
099s,003g,Undirected,5,,3,3
099s,023g,Undirected,6,,31,31
099s,021g,Undirected,7,,114,114
004s,013g,Undirected,8,,4,4
004s,014g,Undirected,9,,31,31
004s,015g,Undirected,10,,10,10
004s,018g,Undirected,11,,3,3
005s,001g,Undirected,12,,6,6
005s,002g,Undirected,13,,4,4
005s,012g,Undirected,14,,11,11
005s,013g,Undirected,15,,20,20
005s,014g,Undirected,16,,121,121
005s,015g,Undirected,17,,45,45
005s,018g,Undirected,18,,3,3
005s,016g,Undirected,19,,5,5
006s,007g,Undirected,20,,12,12
006s,008g,Undirected,21,,12,12
007s,007g,Undirected,24,,12,12
007s,008g,Undirected,25,,12,12
008s,018g,Undirected,26,,1,1
009s,013g,Undirected,27,,36,36
009s,014g,Undirected,28,,1,1
009s,023g,Undirected,29,,34,34
010s,007g,Undirected,30,,1,1
010s,008g,Undirected,31,,1,1
012s,007g,Undirected,32,,21,21
012s,008g,Undirected,33,,20,20
012s,022g,Undirected,34,,3,3
013s,004g,Undirected,35,,1,1
016s,023g,Undirected,38,,135,135
017s,009g,Undirected,39,,1,1
017s,013g,Undirected,40,,1,1
017s,014g,Undirected,41,,2,2
018s,013g,Undirected,42,,1,1
018s,014g,Undirected,43,,3,3
020s,004g,Undirected,45,,3,3
020s,008g,Undirected,46,,12,12
020s,010g,Undirected,47,,2,2
020s,011g,Undirected,48,,3,3
020s,021g,Undirected,49,,87,87
020s,022g,Undirected,50,,5,5
021s,014g,Undirected,51,,8,8
021s,015g,Undirected,52,,1,1
023s,014g,Undirected,53,,1,1
024s,014g,Undirected,54,,1,1
024s,015g,Undirected,55,,1,1
025s,004g,Undirected,56,,1,1
025s,011g,Undirected,57,,2,2
025s,012g,Undirected,58,,1,1
025s,013g,Undirected,59,,1,1
025s,014g,Undirected,60,,3,3
025s,015g,Undirected,61,,1,1
026s,002g,Undirected,62,,2,2
026s,004g,Undirected,63,,1,1
026s,008g,Undirected,64,,1,1
026s,014g,Undirected,65,,32,32
026s,015g,Undirected,66,,7,7
026s,016g,Undirected,67,,1,1
026s,017g,Undirected,68,,2,2
026s,018g,Undirected,69,,9,9
027s,004g,Undirected,70,,1,1
027s,007g,Undirected,71,,1,1
028s,013g,Undirected,72,,1,1
028s,014g,Undirected,73,,5,5
030s,001g,Undirected,74,,2,2
030s,013g,Undirected,75,,7,7
030s,014g,Undirected,76,,55,55
030s,015g,Undirected,77,,15,15
030s,016g,Undirected,78,,1,1
030s,017g,Undirected,79,,1,1
030s,018g,Undirected,80,,2,2
031s,001g,Undirected,81,,1,1
031s,005g,Undirected,82,,1,1
031s,011g,Undirected,83,,4,4
031s,012g,Undirected,84,,1,1
031s,013g,Undirected,85,,4,4
031s,014g,Undirected,86,,169,169
031s,015g,Undirected,87,,30,30
031s,016g,Undirected,88,,6,6
101s,002g,Undirected,89,,5,5
101s,007g,Undirected,90,,41,41
101s,010g,Undirected,91,,11,11
101s,013g,Undirected,92,,34,34
101s,014g,Undirected,93,,14,14
101s,023g,Undirected,94,,41,41
101s,016g,Undirected,95,,145,145
102s,004g,Undirected,96,,2,2
102s,007g,Undirected,97,,2,2
102s,008g,Undirected,98,,2,2
102s,010g,Undirected,99,,20,20
102s,011g,Undirected,100,,8,8
102s,012g,Undirected,101,,7,7
102s,021g,Undirected,102,,27,27
102s,022g,Undirected,103,,2,2
011s,014g,Undirected,104,,1,1
034s,014g,Undirected,105,,1,1
035s,007g,Undirected,106,,1,1
035s,008g,Undirected,107,,1,1
036s,007g,Undirected,108,,41,41
036s,008g,Undirected,109,,41,41
039s,012g,Undirected,110,,1,1
039s,014g,Undirected,111,,2,2
039s,015g,Undirected,112,,2,2
040s,011g,Undirected,113,,1,1
041s,007g,Undirected,114,,2,2
041s,008g,Undirected,115,,1,1
042s,001g,Undirected,116,,1,1
043s,007g,Undirected,117,,4,4
043s,008g,Undirected,118,,4,4
105s,001g,Undirected,119,,8,8
105s,002g,Undirected,120,,17,17
105s,003g,Undirected,121,,162,162
105s,004g,Undirected,122,,30,30
105s,005g,Undirected,123,,65,65
105s,006g,Undirected,124,,43,43
105s,007g,Undirected,125,,26,26
105s,008g,Undirected,126,,46,46
105s,009g,Undirected,127,,13,13
105s,010g,Undirected,128,,15,15
105s,011g,Undirected,129,,25,25
105s,012g,Undirected,130,,9,9
105s,014g,Undirected,131,,35,35
105s,015g,Undirected,132,,13,13
105s,023g,Undirected,133,,148,148
105s,018g,Undirected,134,,1,1
105s,019g,Undirected,135,,6,6
095s,007g,Undirected,136,,12,12
095s,008g,Undirected,137,,12,12
095s,012g,Undirected,138,,4,4
045s,007g,Undirected,139,,5,5
045s,008g,Undirected,140,,5,5
032s,007g,Undirected,141,,1,1
032s,008g,Undirected,142,,1,1
046s,007g,Undirected,143,,1,1
046s,008g,Undirected,144,,1,1
046s,012g,Undirected,145,,1,1
046s,022g,Undirected,146,,1,1
048s,014g,Undirected,147,,39,39
048s,023g,Undirected,148,,39,39
047s,008g,Undirected,149,,1,1
047s,023g,Undirected,150,,8,8
049s,005g,Undirected,151,,1,1
049s,023g,Undirected,152,,104,104
049s,016g,Undirected,153,,1,1
050s,011g,Undirected,154,,1,1
050s,012g,Undirected,155,,1,1
050s,014g,Undirected,156,,2,2
050s,023g,Undirected,157,,21,21
052s,007g,Undirected,159,,1,1
052s,008g,Undirected,160,,1,1
053s,007g,Undirected,161,,1,1
053s,008g,Undirected,162,,1,1
054s,007g,Undirected,163,,2,2
054s,008g,Undirected,164,,2,2
055s,007g,Undirected,165,,5,5
055s,008g,Undirected,166,,5,5
057s,007g,Undirected,167,,2,2
057s,008g,Undirected,168,,2,2
058s,007g,Undirected,169,,4,4
058s,008g,Undirected,170,,4,4
058s,012g,Undirected,171,,4,4
059s,007g,Undirected,172,,6,6
059s,008g,Undirected,173,,24,24
106s,002g,Undirected,174,,28,28
106s,004g,Undirected,175,,17,17
106s,007g,Undirected,176,,25,25
106s,008g,Undirected,177,,28,28
106s,009g,Undirected,178,,1,1
106s,010g,Undirected,179,,636,636
106s,011g,Undirected,180,,13,13
106s,012g,Undirected,181,,29,29
106s,014g,Undirected,182,,9,9
106s,023g,Undirected,183,,29,29
106s,016g,Undirected,184,,72,72
106s,018g,Undirected,185,,35,35
106s,020g,Undirected,186,,20,20
106s,021g,Undirected,187,,122,122
106s,022g,Undirected,188,,13,13
061s,014g,Undirected,189,,7,7
061s,015g,Undirected,190,,3,3
107s,002g,Undirected,191,,23,23
107s,004g,Undirected,192,,1,1
107s,007g,Undirected,193,,31,31
107s,008g,Undirected,194,,5,5
107s,009g,Undirected,195,,55,55
107s,010g,Undirected,196,,19,19
107s,011g,Undirected,197,,53,53
107s,012g,Undirected,198,,30,30
107s,023g,Undirected,199,,263,263
107s,016g,Undirected,200,,55,55
107s,018g,Undirected,201,,11,11
107s,020g,Undirected,202,,4,4
107s,021g,Undirected,203,,97,97
062s,007g,Undirected,204,,3,3
062s,008g,Undirected,205,,3,3
063s,007g,Undirected,206,,1,1
063s,008g,Undirected,207,,1,1
064s,007g,Undirected,208,,83,83
064s,008g,Undirected,209,,83,83
066s,013g,Undirected,210,,1,1
066s,014g,Undirected,211,,1,1
066s,015g,Undirected,212,,1,1
067s,007g,Undirected,213,,8,8
067s,008g,Undirected,214,,8,8
108s,001g,Undirected,215,,6,6
108s,002g,Undirected,216,,33,33
108s,005g,Undirected,217,,23,23
108s,007g,Undirected,218,,11,11
108s,008g,Undirected,219,,9,9
108s,010g,Undirected,220,,270,270
108s,011g,Undirected,221,,7,7
108s,012g,Undirected,222,,16,16
108s,013g,Undirected,223,,15,15
108s,014g,Undirected,224,,174,174
108s,015g,Undirected,225,,69,69
108s,023g,Undirected,226,,87,87
108s,016g,Undirected,227,,36,36
108s,017g,Undirected,228,,4,4
108s,018g,Undirected,229,,60,60
108s,020g,Undirected,230,,59,59
108s,021g,Undirected,231,,252,252
109s,008g,Undirected,232,,24,24
109s,010g,Undirected,233,,162,162
109s,023g,Undirected,234,,397,397
109s,016g,Undirected,235,,67,67
109s,020g,Undirected,236,,87,87
109s,021g,Undirected,237,,246,246
068s,007g,Undirected,238,,1,
068s,008g,Undirected,239,,17,17
068s,022g,Undirected,240,,1,1
110s,007g,Undirected,241,,191,191
110s,008g,Undirected,242,,162,162
110s,010g,Undirected,243,,24,24
110s,011g,Undirected,244,,59,59
110s,013g,Undirected,245,,2,2
110s,014g,Undirected,246,,6,6
110s,023g,Undirected,247,,21,21
110s,016g,Undirected,248,,15,15
110s,018g,Undirected,249,,4,4
110s,020g,Undirected,250,,52,52
110s,021g,Undirected,251,,110,110
110s,022g,Undirected,252,,13,13
110s,002g,Undirected,253,,91,91
110s,004g,Undirected,254,,3,3
110s,005g,Undirected,255,,27,27
022s,004g,Undirected,261,,1,1
022s,008g,Undirected,262,,1,1
022s,011g,Undirected,263,,1,1
069s,004g,Undirected,264,,1,1
069s,007g,Undirected,265,,6,6
069s,008g,Undirected,266,,11,11
069s,011g,Undirected,267,,4,4
069s,012g,Undirected,268,,3,3
069s,022g,Undirected,269,,9,9
070s,008g,Undirected,270,,4,4
070s,011g,Undirected,271,,1,1
070s,021g,Undirected,272,,15,15
070s,022g,Undirected,273,,2,2
071s,001g,Undirected,274,,3,3
071s,014g,Undirected,275,,7,7
071s,015g,Undirected,276,,5,5
072s,013g,Undirected,277,,1,1
073s,013g,Undirected,278,,1,1
073s,014g,Undirected,279,,17,17
073s,017g,Undirected,280,,13,13
073s,018g,Undirected,281,,93,93
073s,019g,Undirected,282,,40,40
075s,002g,Undirected,283,,12,12
075s,003g,Undirected,284,,21,21
075s,005g,Undirected,285,,17,17
075s,007g,Undirected,286,,83,83
075s,011g,Undirected,287,,5,5
075s,012g,Undirected,288,,1,1
075s,023g,Undirected,289,,743,743
075s,016g,Undirected,290,,12,12
075s,015g,Undirected,291,,1,1
074s,007g,Undirected,292,,2,2
074s,008g,Undirected,293,,2,2
078s,013g,Undirected,294,,13,13
078s,014g,Undirected,295,,6,6
078s,015g,Undirected,296,,2,2
051s,013g,Undirected,297,,17,17
051s,014g,Undirected,298,,8,8
051s,015g,Undirected,299,,3,3
079s,013g,Undirected,300,,1,1
079s,014g,Undirected,301,,6,6
080s,007g,Undirected,302,,9,9
080s,008g,Undirected,303,,5,5
080s,012g,Undirected,304,,3,3
082s,007g,Undirected,307,,3,3
082s,008g,Undirected,308,,4,4
083s,013g,Undirected,309,,2,2
083s,014g,Undirected,310,,10,10
083s,016g,Undirected,311,,1,1
085s,007g,Undirected,314,,1,1
085s,008g,Undirected,315,,1,1
085s,011g,Undirected,316,,8,8
085s,012g,Undirected,317,,5,5
085s,022g,Undirected,318,,9,9
114s,002g,Undirected,319,,1,1
114s,010g,Undirected,320,,1,1
114s,011g,Undirected,321,,11,11
114s,012g,Undirected,322,,3,3
114s,014g,Undirected,323,,1,1
114s,023g,Undirected,324,,223,223
114s,016g,Undirected,325,,1,1
100s,001g,Undirected,326,,4,4
100s,002g,Undirected,327,,121,121
100s,013g,Undirected,328,,2,2
100s,014g,Undirected,329,,281,281
100s,015g,Undirected,330,,98,98
100s,023g,Undirected,331,,2,2
100s,016g,Undirected,332,,7,7
100s,017g,Undirected,333,,4,4
100s,018g,Undirected,334,,493,493
100s,019g,Undirected,335,,46,46
086s,012g,Undirected,336,,1,1
086s,014g,Undirected,337,,1,1
086s,016g,Undirected,338,,2,2
086s,018g,Undirected,339,,1,1
087s,011g,Undirected,340,,2,2
115s,004g,Undirected,341,,17,17
115s,007g,Undirected,342,,24,24
115s,008g,Undirected,343,,141,141
115s,009g,Undirected,344,,1,1
115s,010g,Undirected,345,,23,23
115s,011g,Undirected,346,,1,1
115s,016g,Undirected,347,,16,16
115s,018g,Undirected,348,,11,11
115s,020g,Undirected,349,,6,6
115s,021g,Undirected,350,,88,88
115s,022g,Undirected,351,,46,46
089s,014g,Undirected,352,,1,1
090s,007g,Undirected,353,,2,2
090s,008g,Undirected,354,,2,2
093s,009g,Undirected,356,,1,1
093s,010g,Undirected,357,,1,1
093s,016g,Undirected,358,,1,1
093s,020g,Undirected,359,,1,1
093s,021g,Undirected,360,,61,61
093s,022g,Undirected,361,,1,1
094s,007g,Undirected,362,,1,1
094s,008g,Undirected,363,,1,1
097s,002g,Undirected,367,,2,2
097s,003g,Undirected,368,,41,41
097s,008g,Undirected,369,,2,2
097s,011g,Undirected,370,,4,4
097s,012g,Undirected,371,,44,44
097s,014g,Undirected,372,,2,2
097s,023g,Undirected,373,,119,119
117s,001g,Undirected,377,,2,2
117s,004g,Undirected,378,,1,1
117s,006g,Undirected,379,,2,2
117s,007g,Undirected,380,,1,1
117s,008g,Undirected,381,,1,
117s,011g,Undirected,382,,2,2
117s,012g,Undirected,383,,1,1
117s,014g,Undirected,384,,11,11
117s,015g,Undirected,385,,6,6
117s,016g,Undirected,386,,1,1
117s,018g,Undirected,387,,1,1
117s,020g,Undirected,388,,1,1
103s,011g,Undirected,389,,2,2
103s,012g,Undirected,390,,9,9
103s,014g,Undirected,391,,6,6
103s,023g,Undirected,392,,23,23
103s,019g,Undirected,393,,2,2
103s,015g,Undirected,394,,2,2
104s,008g,Undirected,395,,2,2
104s,022g,Undirected,396,,1,1
111s,018g,Undirected,397,,14,14
111s,022g,Undirected,398,,2,2
112s,008g,Undirected,399,,1,1
113s,011g,Undirected,400,,40,40
113s,012g,Undirected,401,,10,10
113s,023g,Undirected,402,,56,56
116s,007g,Undirected,403,,33,33
116s,008g,Undirected,404,,33,33
118s,014g,Undirected,405,,1,1
119s,014g,Undirected,406,,1,1
119s,015g,Undirected,407,,1,1
120s,008g,Undirected,408,,1,1
