Source,Target,Type,Id,Label,Weight
001p,028p,Undirected,188203,,1
001p,1386p,Undirected,188204,,1
001p,1788p,Undirected,188205,,1
002c,062c,Undirected,188206,,1
002c,389c,Undirected,188207,,1
002p,512c,Undirected,188208,,6
002p,530c,Undirected,188209,,6
003p,1665p,Undirected,188210,,1
004c,361c,Undirected,188211,,1
004c,515c,Undirected,188212,,1
004p,824p,Undirected,188213,,1
005c,108c,Undirected,188214,,1
005c,267c,Undirected,188215,,1
005p,326c,Undirected,188216,,1
005p,332c,Undirected,188217,,1
005p,346c,Undirected,188218,,1
005p,390c,Undirected,188219,,1
006c,033c,Undirected,188220,,1
006c,108c,Undirected,188221,,1
006c,267c,Undirected,188222,,1
006c,464c,Undirected,188223,,2
006c,485c,Undirected,188224,,3
006p,1882p,Undirected,188225,,5
008p,229c,Undirected,188226,,2
008p,136p,Undirected,188227,,2
008p,668p,Undirected,188228,,2
008p,1713p,Undirected,188229,,2
009p,197c,Undirected,188230,,1
009p,216c,Undirected,188231,,1
009p,282c,Undirected,188232,,1
009p,311c,Undirected,188233,,1
009p,1329p,Undirected,188234,,1
009p,470c,Undirected,188235,,1
009p,1717p,Undirected,188236,,1
010c,200c,Undirected,188237,,1
010c,063c,Undirected,188238,,1
010c,250c,Undirected,188239,,1
010c,352c,Undirected,188240,,1
010p,355c,Undirected,188241,,1
011c,002c,Undirected,188242,,1
011c,056c,Undirected,188243,,1
011c,062c,Undirected,188244,,1
011c,164c,Undirected,188245,,1
011c,248c,Undirected,188246,,2
011c,250c,Undirected,188247,,2
011c,375c,Undirected,188248,,1
011c,389c,Undirected,188249,,2
011c,400c,Undirected,188250,,1
011c,412c,Undirected,188251,,1
011c,560c,Undirected,188252,,1
012c,204c,Undirected,188253,,1
012c,058c,Undirected,188254,,2
012c,090c,Undirected,188255,,1
012c,119c,Undirected,188256,,1
012c,346c,Undirected,188257,,1
012c,389c,Undirected,188258,,1
012c,422c,Undirected,188259,,1
012c,569c,Undirected,188260,,1
012p,006c,Undirected,188261,,1
012p,108c,Undirected,188262,,1
012p,464c,Undirected,188263,,1
012p,465c,Undirected,188264,,1
012p,485c,Undirected,188265,,1
013c,141c,Undirected,188266,,1
013c,547c,Undirected,188267,,1
014c,217c,Undirected,188268,,1
014c,067c,Undirected,188269,,1
014c,658p,Undirected,188270,,1
014c,387c,Undirected,188271,,1
014c,503c,Undirected,188272,,1
015c,246c,Undirected,188273,,60
015p,217c,Undirected,188274,,1
015p,006c,Undirected,188275,,1
015p,033c,Undirected,188276,,1
015p,122p,Undirected,188277,,1
015p,058c,Undirected,188278,,1
015p,211p,Undirected,188279,,1
015p,289p,Undirected,188280,,1
015p,318p,Undirected,188281,,1
015p,107c,Undirected,188282,,1
015p,112c,Undirected,188283,,1
015p,476p,Undirected,188284,,1
015p,179c,Undirected,188285,,1
015p,267c,Undirected,188286,,1
015p,282c,Undirected,188287,,1
015p,346c,Undirected,188288,,4
015p,1112p,Undirected,188289,,1
015p,1164p,Undirected,188290,,1
015p,464c,Undirected,188291,,1
015p,485c,Undirected,188292,,1
015p,1475p,Undirected,188293,,1
016c,105c,Undirected,188294,,1
016c,164c,Undirected,188295,,1
016c,390c,Undirected,188296,,1
016c,569c,Undirected,188297,,1
016p,726p,Undirected,188298,,8
016p,248c,Undirected,188299,,4
016p,284c,Undirected,188300,,4
016p,1102p,Undirected,188301,,8
017p,940p,Undirected,188302,,4
017p,1168p,Undirected,188303,,4
018c,185c,Undirected,188304,,1
018c,250c,Undirected,188305,,1
018c,292c,Undirected,188306,,1
018p,192p,Undirected,188307,,1
018p,154p,Undirected,188308,,1
018p,327p,Undirected,188309,,1
018p,186c,Undirected,188310,,1
018p,723p,Undirected,188311,,1
018p,389c,Undirected,188312,,1
018p,1706p,Undirected,188313,,1
018p,1829p,Undirected,188314,,1
019c,056c,Undirected,188315,,2
019c,260c,Undirected,188316,,1
019c,261c,Undirected,188317,,1
019c,336c,Undirected,188318,,1
019c,346c,Undirected,188319,,2
019c,569c,Undirected,188320,,3
019p,199c,Undirected,188321,,1
019p,072c,Undirected,188322,,1
019p,303c,Undirected,188323,,1
019p,571c,Undirected,188324,,1
020c,074c,Undirected,188325,,1
020c,460c,Undirected,188326,,1
020c,567c,Undirected,188327,,1
020p,222c,Undirected,188328,,1
020p,093p,Undirected,188329,,1
020p,073c,Undirected,188330,,1
020p,200c,Undirected,188331,,1
020p,213c,Undirected,188332,,1
020p,312c,Undirected,188333,,1
020p,349c,Undirected,188334,,1
020p,450c,Undirected,188335,,1
020p,448c,Undirected,188336,,2
020p,1613p,Undirected,188338,,1
021c,204c,Undirected,188339,,4
021c,105c,Undirected,188341,,1
021c,789p,Undirected,188342,,1
021c,311c,Undirected,188343,,3
021c,515c,Undirected,188345,,1
021p,1065p,Undirected,188346,,1
022c,196c,Undirected,188347,,1
022c,123c,Undirected,188348,,1
022c,214c,Undirected,188349,,1
022c,305c,Undirected,188350,,1
022c,314c,Undirected,188351,,1
022c,346c,Undirected,188352,,3
022c,538c,Undirected,188353,,1
022p,212c,Undirected,188354,,1
022p,584p,Undirected,188355,,1
022p,652p,Undirected,188356,,1
022p,1334p,Undirected,188357,,1
023c,389c,Undirected,188358,,1
023c,481c,Undirected,188359,,1
023p,249p,Undirected,188360,,1
023p,496p,Undirected,188361,,1
023p,518p,Undirected,188362,,1
023p,534p,Undirected,188363,,1
023p,593p,Undirected,188364,,1
023p,1200p,Undirected,188365,,1
023p,1302p,Undirected,188366,,1
023p,1455p,Undirected,188367,,2
023p,1745p,Undirected,188368,,1
023p,1858p,Undirected,188369,,1
