Source,Target,Type,Id,Label,Weight,attribute
046s,001p,Directed,2531,,1,1
105s,002p,Directed,2532,,6,6
052s,003p,Directed,2533,,1,1
069s,004p,Directed,2534,,1,1
026s,005p,Directed,2535,,1,1
106s,006p,Directed,2536,,5,5
108s,007p,Directed,2537,,1,1
108s,008p,Directed,2538,,2,2
108s,009p,Directed,2539,,1,1
030s,010p,Directed,2540,,1,1
017s,011p,Directed,2541,,1,1
083s,011p,Directed,2542,,1,1
108s,012p,Directed,2543,,1,1
030s,013p,Directed,2544,,1,1
031s,014p,Directed,2545,,1,1
005s,015p,Directed,2546,,4,4
107s,016p,Directed,2547,,8,8
108s,017p,Directed,2548,,4,4
093s,017p,Directed,2549,,3,3
005s,019p,Directed,2550,,1,1
004s,020p,Directed,2551,,3,3
031s,022p,Directed,2552,,1,1
095s,023p,Directed,2553,,1,1
104s,023p,Directed,2554,,1,1
005s,024p,Directed,2555,,1,1
031s,024p,Directed,2556,,1,1
017s,025p,Directed,2557,,1,1
073s,025p,Directed,2558,,11,11
100s,025p,Directed,2559,,4,4
030s,026p,Directed,2560,,1,1
109s,027p,Directed,2561,,26,26
046s,028p,Directed,2562,,1,1
106s,028p,Directed,2563,,1,1
068s,028p,Directed,2564,,1,1
022s,028p,Directed,2565,,1,1
069s,028p,Directed,2566,,3,3
070s,028p,Directed,2567,,1,1
115s,028p,Directed,2568,,18,18
093s,028p,Directed,2569,,1,1
104s,028p,Directed,2570,,1,1
078s,029p,Directed,2571,,2,2
108s,030p,Directed,2572,,1,1
100s,030p,Directed,2573,,2,2
031s,031p,Directed,2574,,2,2
100s,031p,Directed,2575,,2,2
106s,032p,Directed,2576,,1,1
026s,033p,Directed,2577,,1,1
031s,034p,Directed,2578,,1,1
103s,035p,Directed,2579,,2,2
005s,037p,Directed,2580,,5,5
108s,037p,Directed,2581,,1,1
108s,039p,Directed,2582,,44,44
071s,040p,Directed,2583,,1,1
110s,041p,Directed,2584,,5,5
109s,042p,Directed,2585,,42,42
026s,043p,Directed,2586,,1,1
108s,043p,Directed,2587,,1,1
025s,044p,Directed,2588,,1,1
031s,044p,Directed,2589,,1,1
073s,044p,Directed,2590,,1,1
079s,044p,Directed,2591,,1,1
122s,044p,Directed,2592,,1,1
103s,044p,Directed,2593,,1,1
036s,045p,Directed,2594,,3,3
108s,045p,Directed,2595,,4,4
093s,046p,Directed,2596,,1,1
005s,047p,Directed,2597,,2,2
111s,047p,Directed,2598,,4,4
064s,048p,Directed,2599,,14,14
105s,048p,Directed,2600,,3,3
022s,048p,Directed,2601,,1,1
117s,048p,Directed,2602,,1,1
030s,049p,Directed,2603,,1,1
020s,050p,Directed,2604,,2,2
107s,051p,Directed,2605,,42,42
107s,1895p,Directed,2606,,37,37
030s,052p,Directed,2607,,2,2
095s,053p,Directed,2608,,1,1
026s,054p,Directed,2609,,2,2
031s,054p,Directed,2610,,1,1
031s,055p,Directed,2611,,1,1
100s,1896p,Directed,2612,,3,3
100s,056p,Directed,2613,,2,2
030s,057p,Directed,2614,,1,1
005s,058p,Directed,2615,,3,3
051s,058p,Directed,2616,,1,1
005s,059p,Directed,2617,,1,1
031s,060p,Directed,2618,,1,1
031s,061p,Directed,2619,,1,1
026s,062p,Directed,2620,,1,1
031s,1897p,Directed,2621,,1,1
108s,1898p,Directed,2622,,1,1
073s,063p,Directed,2623,,1,1
031s,064p,Directed,2624,,2,2
100s,064p,Directed,2625,,3,3
106s,065p,Directed,2626,,2,2
111s,065p,Directed,2627,,4,4
108s,066p,Directed,2628,,3,3
093s,067p,Directed,2629,,1,1
108s,068p,Directed,2630,,2,2
031s,069p,Directed,2631,,1,1
105s,070p,Directed,2632,,8,8
073s,1899p,Directed,2633,,4,4
100s,1899p,Directed,2634,,9,9
100s,071p,Directed,2635,,8,8
093s,072p,Directed,2636,,1,1
026s,073p,Directed,2637,,1,1
061s,074p,Directed,2638,,1,1
107s,1900p,Directed,2639,,6,6
107s,075p,Directed,2640,,12,12
109s,075p,Directed,2641,,43,43
030s,076p,Directed,2642,,1,1
031s,1901p,Directed,2643,,1,1
073s,077p,Directed,2644,,1,1
100s,077p,Directed,2645,,4,4
106s,1902p,Directed,2646,,7,7
107s,1903p,Directed,2647,,1,1
073s,078p,Directed,2648,,4,4
108s,079p,Directed,2649,,1,1
100s,079p,Directed,2650,,2,2
002s,1904s,Directed,2651,,1,1
019s,080p,Directed,2652,,1,1
110s,080p,Directed,2653,,1,1
106s,1905s,Directed,2654,,2,2
005s,081p,Directed,2655,,1,1
100s,1906s,Directed,2656,,3,3
004s,082p,Directed,2657,,1,1
005s,082p,Directed,2658,,1,1
108s,082p,Directed,2659,,1,1
031s,083p,Directed,2660,,1,1
100s,083p,Directed,2661,,10,10
005s,1907s,Directed,2662,,1,1
031s,084p,Directed,2663,,1,1
031s,1908s,Directed,2664,,1,1
108s,085p,Directed,2665,,44,44
031s,1909s,Directed,2666,,1,1
108s,086p,Directed,2667,,2,2
117s,086p,Directed,2668,,1,1
105s,087p,Directed,2669,,1,1
105s,088p,Directed,2670,,8,8
107s,089p,Directed,2671,,22,22
005s,090p,Directed,2672,,2,2
026s,091p,Directed,2673,,1,1
039s,091p,Directed,2674,,1,1
098s,092p,Directed,2675,,15,15
004s,093p,Directed,2676,,1,1
030s,094p,Directed,2677,,1,1
100s,095p,Directed,2678,,13,13
071s,1910s,Directed,2679,,1,1
111s,096p,Directed,2680,,3,3
005s,097p,Directed,2681,,1,1
108s,1911s,Directed,2682,,1,1
108s,098p,Directed,2684,,1,1
030s,099p,Directed,2685,,1,1
030s,1912s,Directed,2686,,1,1
030s,100p,Directed,2687,,1,1
006s,101p,Directed,2688,,4,4
106s,101p,Directed,2689,,1,1
104s,102p,Directed,2690,,1,1
005s,103p,Directed,2691,,1,1
020s,104p,Directed,2692,,1,1
111s,1913s,Directed,2693,,2,2
108s,105p,Directed,2694,,44,44
107s,1914s,Directed,2695,,2,2
020s,106p,Directed,2696,,2,2
005s,107p,Directed,2697,,2,2
103s,108p,Directed,2698,,14,14
031s,109p,Directed,2699,,1,1
105s,110p,Directed,2700,,31,31
075s,111p,Directed,2701,,29,29
109s,112p,Directed,2702,,32,32
047s,1915s,Directed,2703,,9,9
049s,1915s,Directed,2704,,24,24
110s,1916s,Directed,2705,,16,16
122s,113p,Directed,2706,,1,1
005s,114p,Directed,2707,,2,2
100s,1917s,Directed,2708,,2,2
030s,115p,Directed,2709,,1,1
100s,116p,Directed,2710,,5,5
005s,117p,Directed,2711,,2,2
019s,118p,Directed,2712,,1,1
030s,119p,Directed,2713,,1,1
100s,120p,Directed,2714,,20,20
100s,121p,Directed,2715,,77,77
005s,122p,Directed,2716,,6,6
017s,122p,Directed,2717,,1,1
030s,122p,Directed,2718,,2,2
051s,122p,Directed,2719,,1,1
108s,122p,Directed,2720,,4,4
071s,122p,Directed,2721,,1,1
026s,123p,Directed,2722,,3,3
031s,123p,Directed,2723,,1,1
108s,123p,Directed,2724,,1,1
071s,123p,Directed,2725,,1,1
073s,124p,Directed,2726,,5,5
100s,125p,Directed,2727,,11,11
108s,126p,Directed,2728,,2,2
093s,1918s,Directed,2729,,1,1
108s,127p,Directed,2730,,2,2
005s,128p,Directed,2731,,1,1
026s,128p,Directed,2732,,1,1
031s,128p,Directed,2733,,1,1
100s,128p,Directed,2734,,2,2
020s,129p,Directed,2735,,2,2
106s,131p,Directed,2736,,2,2
004s,132p,Directed,2737,,1,1
100s,133p,Directed,2738,,4,4
101s,135p,Directed,2739,,21,21
108s,136p,Directed,2740,,2,2
108s,1919s,Directed,2741,,1,1
100s,137p,Directed,2742,,9,9
111s,138p,Directed,2743,,2,2
105s,139p,Directed,2744,,68,68
005s,140p,Directed,2745,,2,2
111s,140p,Directed,2746,,3,3
107s,141p,Directed,2747,,44,44
108s,142p,Directed,2748,,1,1
004s,143p,Directed,2749,,1,1
079s,143p,Directed,2750,,1,1
030s,144p,Directed,2751,,1,1
106s,1920s,Directed,2752,,1,1
106s,145p,Directed,2753,,2,2
031s,146p,Directed,2754,,1,1
108s,147p,Directed,2755,,1,1
103s,148p,Directed,2756,,2,2
031s,149p,Directed,2757,,2,2
100s,149p,Directed,2758,,4,4
108s,150p,Directed,2759,,2,2
100s,150p,Directed,2760,,11,11
106s,151p,Directed,2761,,1,1
093s,1921s,Directed,2762,,1,1
106s,152p,Directed,2763,,1,1
012s,153p,Directed,2764,,13,13
005s,154p,Directed,2765,,1,1
111s,156p,Directed,2766,,3,3
106s,155p,Directed,2767,,7,7
005s,1922s,Directed,2768,,1,1
025s,157p,Directed,2769,,1,1
107s,158p,Directed,2770,,37,37
109s,158p,Directed,2771,,24,24
093s,158p,Directed,2772,,1,1
100s,160p,Directed,2773,,16,16
108s,161p,Directed,2774,,26,26
026s,162p,Directed,2775,,1,1
106s,163p,Directed,2776,,74,74
026s,164p,Directed,2777,,1,1
108s,165p,Directed,2778,,2,2
100s,166p,Directed,2779,,3,3
108s,167p,Directed,2780,,10,10
075s,168p,Directed,2781,,12,12
031s,169p,Directed,2782,,1,1
108s,170p,Directed,2783,,3,3
002s,171p,Directed,2784,,1,1
106s,172p,Directed,2785,,1,1
113s,172p,Directed,2786,,1,1
106s,173p,Directed,2787,,21,21
020s,174p,Directed,2788,,2,2
106s,176p,Directed,2789,,1,1
031s,177p,Directed,2790,,1,1
031s,178p,Directed,2791,,1,1
108s,179p,Directed,2792,,2,2
115s,181p,Directed,2793,,2,2
005s,183p,Directed,2794,,1,1
061s,182p,Directed,2795,,1,1
073s,183p,Directed,2797,,10,10
100s,183p,Directed,2798,,2,2
020s,184p,Directed,2799,,2,2
108s,186p,Directed,2800,,3,3
069s,187p,Directed,2801,,3,3
107s,188p,Directed,2802,,1,1
069s,188p,Directed,2803,,1,1
020s,189p,Directed,2804,,3,3
